,EMPLOYEE_ID,RATINGS_2021,JOB_FAMILY_GROUP,MANAGER_ID,GENDER,TERMINATION_TYPE,STATUS,JOB_PROFILE_NAME,JOB_FAMILY_DESC,WORK_ADDRESS_COUNTRY,engagement_score,risk_score,Promotional_Opportunities,Relationship_with_manager
4453,1174399.0,On Track,Information Technology,852855.0,Male,None,Active,Senior IT Business Analysis Specialist,BUSINESS ANALYSIS,United Kingdom,50,0.3482250519398244,-9999.0,-9999.0
4454,1237047.0,On Track,Information Technology,852147.0,Male,None,Active,Senior Applications Development Analyst,APPLICATIONS DEVELOPMENT,India,82,0.4959035562821057,-9999.0,-9999.0
4455,1157694.0,On Track,Finance,874398.0,Male,None,Active,Senior Specialist - Treasury Operations,TREASURY OPERATIONS,United States of America,80,0.4303748399066339,-9999.0,-9999.0
4456,862775.0,On Track,Finance,643779.0,Female,None,Active,Accounting Supervisor,GENERAL ACCOUNTING,United States of America,56,0.3396723090953747,-9999.0,-9999.0
4457,1274945.0,Not Rated,Finance,1035509.0,Male,None,Active,Accounting Manager,GENERAL ACCOUNTING,Australia,81,-9999.0,-9999.0,-9999.0
4458,1158828.0,On Track,Human Resources,1034372.0,Male,None,Active,Talent Acquisition Global Programs Manager,TALENT ACQUISITION GLOBAL PROGRAMS,United Kingdom,51,0.5239017528837746,-9999.0,-9999.0
4459,1256964.0,Not Rated,Information Technology,1256501.0,Male,None,Active,Analyst - IT Product Support,IT PRODUCT SUPPORT,India,97,0.6537203979749843,-9999.0,-9999.0
4460,1237282.0,On Track,Information Technology,1210864.0,Male,None,Active,Senior Manager - Enterprise Systems Architecture,SYSTEMS ARCHITECTURE - ENTERPRISE,United Kingdom,66,0.6088278386538352,-9999.0,-9999.0
4461,1173707.0,On Track,Information Technology,1172887.0,Female,None,Active,Analyst - IT Product Support,IT PRODUCT SUPPORT,India,97,0.4158416119231614,-9999.0,-9999.0
4462,1272878.0,Not Rated,Consulting,1092068.0,Female,None,Active,Technical Product Consulting Senior Specialist,TECHNICAL PRODUCT CONSULTING,Ireland,67,0.9095470569099412,-9999.0,-9999.0
4463,1050596.0,On Track,Information Technology,1076133.0,Male,None,Active,IT Product Support Senior Coordinator,IT PRODUCT SUPPORT,Singapore,76,0.4584981502153791,-9999.0,-9999.0
4464,1256008.0,Not Rated,Information Technology,832438.0,Male,None,Active,Senior Manager - IT Systems Engineering,IT SYSTEMS ENGINEERING,Canada,40,0.308195927801795,-9999.0,-9999.0
4465,1158833.0,On Track,"Legal, Compliance & Risk",783551.0,None,None,Active,Senior Counsel,ATTORNEYS,Sweden,33,0.5975556402498492,-9999.0,-9999.0
4466,1258603.0,Not Rated,Information Technology,1255476.0,Male,None,Active,Analyst - IT Product Support,IT PRODUCT SUPPORT,India,89,0.6568284082239976,-9999.0,-9999.0
4467,1272868.0,Not Rated,Operations,1071668.0,Male,None,Active,Specialist - Metrics - Analytics and Reporting,"METRICS, ANALYTICS & REPORTING",Ireland,8,0.7487745008790823,-9999.0,-9999.0
4468,862598.0,On Track,Information Technology,1156639.0,Male,None,Active,Specialist - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,64,0.3394095805831407,-9999.0,-9999.0
